country,gdp_pc_pp,gdp_pc_pp_A,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Albania,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.17475920840499998
Algeria,13921.180019999998,13974.66622,40606052,0.71304,3843.752322,5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.12955854598878927
Angola,5984.6404219999995,6024.726138,28813463,0.44819,3110.8081829999996,5,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1.0,0.10613230399367693
Antigua and Barbuda,21013.017630000002,20777.613080000003,100963,0.23393000000000003,14353.37881,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.40051064160860556,1.0,0.12371490701349916
Argentina,18489.43489,10405.0,43847430,0.9189299999999999,12449.21685,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.148267179288
Armenia,8190.239289,8174.3667319999995,2924816,0.62558,3606.1520570000002,5,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.351328706266
Australia,44260.57597,44414.029480000005,24127159,0.89554,49927.81951,5,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.27360239086009513,1.0,0.158996
Austria,44438.724819999996,44143.70016,8747358,0.66032,44176.51522,5,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729004,1.0,0.41699351443000005
Azerbaijan,16001.3234,15994.009740000001,9762274,0.54895,3876.936433,5,0.2,1.5,0.06,0.8,0.05,0.0,0.2375,0.5982212831852317,1.0,0.425623651944
Bangladesh,3319.353556,3319.353556,162951560,0.35035,1358.779752,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.138472543886
Belarus,16752.09877,16742.2555,9507120,0.77046,4989.254611,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5541666666666667,0.38644453675382373,1.0,0.41684499865999997
Belgium,42094.57905,41945.69212,11348159,0.9789700000000001,41096.1573,5,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.21669151743746679,1.0,0.42390653531
Belize,7846.015831999999,7831.454486,366954,0.43845,4810.565902,5,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.9615481265045698,1.0,0.1227468420434
Benin,2009.961384,2009.961384,10872298,0.44395,789.4404107,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.07365719175999999
Bhutan,8253.293783,8105.796967,797765,0.39377,2804.000223,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.18557539427848196,1.0,0.018739353067999998
Bolivia,6707.956184000001,6707.956184000001,10887882,0.68911,3104.9560890000002,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,1.0,0.13973857202599999
Bosnia and Herzegovina,11327.48741,11179.349909999999,3516816,0.3994,4708.718261,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.32393223235700314,1.0,0.13249242015499998
Botswana,15723.23706,15513.44193,2250260,0.5771,6788.042745000001,5,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,1.0,0.049068881756
Brazil,14023.69162,14023.69162,207652865,0.8593299999999999,8649.948492,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5458333333333333,0.265575010187584,1.0,0.19739822375599997
Bulgaria,17794.52661,17709.07519,7127822,0.74266,7350.795801,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,1.0,0.4199806117
Burkina Faso,1642.1858339999999,1594.576777,18646433,0.30688000000000004,649.7304837,5,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.40566509188102295,1.0,0.026751492773
Burundi,721.1765615,721.1765615,10524117,0.12359,285.7274421,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.4629793127178333,1.0,0.09712499764962298
Cameroon,3346.817793,3045.919165,23439189,0.54938,1032.6487220000001,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5666666666666667,0.41973757460294764,1.0,0.00632644199
Canada,43113.68397,43087.75737,36286425,0.82006,42157.92799,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8333333333333333,0.3354838938558465,1.0,0.17240600000000003
Central African Republic,647.8804448,647.8804448,4594621,0.40331999999999996,382.21317430000005,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.3147438330510679,1.0,0.005826174722
Chad,1845.914679,1845.914679,14452543,0.22618000000000002,664.2956518999999,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.7532009944644721,1.0,0.029934637255
Chile,22706.720540000002,22706.720540000002,17909754,0.89697,13792.92605,5,0.2,1.5,0.06,0.8,0.05,0.8,0.9,0.34739411181855295,1.0,0.149239162256
China,14399.44766,14400.886059999999,1378665000,0.5677800000000001,8123.180873,5,0.2,1.5,0.06,0.8,0.05,0.8,0.8166666666666667,0.22921637913923992,1.0,0.14838872256005595
Colombia,13124.324840000001,13124.324840000001,48653419,0.76708,5805.605335,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1.0,0.2797792564799715,1.0,0.088600767424
Comoros,1411.152339,1411.152339,795601,0.28412,775.0800847,5,0.2,1.5,0.06,0.8,0.05,0.26666666666666666,0.16666666666666666,0.197958724460889,1.0,0.027372903065
"Congo, Dem. Rep.",743.8943423999999,742.3079048999999,78736153,0.43015,444.50531680000006,5,0.2,1.5,0.06,0.8,0.05,0.4,0.375,0.23705600185809048,1.0,0.07710087344000001
"Congo, Rep.",5301.395941,5301.397271,5125821,0.65798,1528.24483,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.37275342390232385,1.0,0.14077042826199998
Costa Rica,15401.4925,15401.4925,4857274,0.77675,11824.6381,5,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,0.5,0.48189675491736383,1.0,0.16714466270300002
Cote d'Ivoire,3424.7642100000003,3448.144013,23695919,0.54869,1526.197175,5,0.2,1.5,0.06,0.8,0.05,0.4,0.25,0.5759764393620561,1.0,0.09717874193483547
Croatia,21527.967669999998,21408.55151,4170600,0.5928399999999999,12090.66656,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5708333333333333,0.23052247153165525,1.0,0.29029710099999995
Cyprus,31331.392999999996,31195.50622,1170125,0.6684,23324.20174,5,0.2,1.5,0.06,0.8,0.05,0.0,0.2125,0.20174778291418224,1.0,0.34465675519999994
Czech Republic,31338.875210000002,31071.748369999998,10561633,0.7298,18266.54969,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5,0.23979983157078164,1.0,0.44581847175399997
Denmark,45991.224780000004,45686.48453,5731118,0.8784700000000001,53417.664280000005,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.23010606402758518,1.0,0.38293142236699995
Dominica,10151.34252,10174.038540000001,73543,0.6982,7144.454673,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,1.4717082620307553,1.0,0.10197510012200002
Dominican Republic,14098.875869999998,14098.875869999998,10648791,0.7984100000000001,6722.2235359999995,5,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.3771503990888722,1.0,0.12330188002699999
Ecuador,10424.26415,10462.44133,16385068,0.63976,5968.984138000001,5,0.2,1.5,0.06,0.8,0.05,0.8,0.4708333333333333,0.25747347179967145,1.0,0.187631425645
"Egypt, Arab Rep.",10319.25693,10319.25693,95688681,0.43222,3514.490097,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4708333333333333,0.4927783418827425,1.0,0.11753683112499998
El Salvador,7989.997256000001,7989.997256000001,6344722,0.67189,4223.584579,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.13424357530792413,1.0,0.19632888416200003
Estonia,28109.817039999998,27735.13851,1316481,0.6746800000000001,17574.68736,5,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.2800603915970392,1.0,0.36083522009999996
Ethiopia,1608.293476,1608.293476,102403196,0.19922,706.7577541,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5791666666666667,0.3781161653838428,1.0,0.09902624303082032
Fiji,8447.264216,8862.740443,898760,0.54099,5153.351544,5,0.2,1.5,0.06,0.8,0.05,1.0,0.7,0.33613901941237423,1.0,0.131434908688
Finland,39521.5602,39422.64698,5495096,0.8435799999999999,43090.24751,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8916666666666666,0.21799096857432496,1.0,0.357808437848
France,38061.094260000005,38058.87305,66896109,0.7975,36854.96828,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.95,0.2234491797478895,1.0,0.3856780956
Gabon,16786.00072,16785.99801,1979786,0.87366,7179.340661,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5541666666666667,0.3299123735952057,1.0,0.12624021959800003
Georgia,9276.766243,9267.299004,3719300,0.5382600000000001,3853.649904,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6291666666666667,0.3632651483124993,1.0,0.5696747003849998
Germany,44356.85773,44072.39216,82667685,0.7551,41936.058580000004,5,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.27301744639675013,1.0,0.40441834919700004
Ghana,3980.202106,3980.202106,28206728,0.54682,1513.461034,5,0.2,1.5,0.06,0.8,0.05,0.8,0.5541666666666667,0.40793501657637044,1.0,0.173211340542
Greece,24223.992290000002,24263.87813,10746740,0.7832899999999999,18103.96932,5,0.2,1.5,0.06,0.8,0.05,0.8,0.5541666666666667,0.23679175031633581,1.0,0.489918763898
Guatemala,7366.76848,7366.76848,16582469,0.5203,4146.744129,5,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.5708333333333333,0.6475627728005022,1.0,0.039653252427999996
Guinea,1823.3387879999998,1215.025377,12395924,0.37651,508.1450784,5,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3510694892836516,1.0,0.0731361673504809
Guinea-Bissau,1491.681953,1466.267695,1815698,0.5009399999999999,620.2147647,5,0.2,1.5,0.06,0.8,0.05,0.2,0.16666666666666666,0.4231887629374076,1.0,0.09025000656517371
Guyana,7266.335284999999,7248.230183,773303,0.28661,4456.553697,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.3808481921743437,1.0,0.12710520740181663
Haiti,1653.9618480000001,1653.9618480000001,10847334,0.5979399999999999,739.5954363,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.25,0.1333669537730951,1.0,0.014111937391999996
Honduras,4392.265947,4392.265947,9112867,0.55315,2361.15762,5,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.5916666666666667,0.3635926941047578,1.0,0.139406870304
Hungary,25664.136000000002,25381.28792,9817958,0.71672,12664.847440000001,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6916666666666667,0.22126941170098394,1.0,0.555089652
India,6092.648097,6092.648097,1324171354,0.33136,1709.387921,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7875,0.4525301642355351,1.0,0.11899022153989995
Indonesia,10764.548,10764.548,261115456,0.54466,3570.2948880000004,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6333333333333333,0.30997681866727844,1.0,0.1252372344201611
"Iran, Islamic Rep.",18497.67701,16010.11144,80277428,0.73879,4957.581276,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.31799517747918205,1.0,0.13820058166540264
Iraq,16086.91806,16086.91806,37202572,0.69592,4609.600694,5,0.2,1.5,0.06,0.8,0.05,0.2,0.3625,0.5840924714508963,1.0,0.11397677753600001
Ireland,63301.15414,62828.33917000001,4773095,0.63535,61606.482939999994,5,0.2,1.5,0.06,0.8,0.05,0.0,0.3875,0.31125054927451323,1.0,0.5073191135880001
Israel,32688.4081,32612.688580000002,8547100,0.92205,37292.612219999995,5,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.3584782813615938,1.0,0.17843700015548486
Italy,34699.867360000004,34620.12936,60600590,0.69116,30527.2682,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7166666666666667,0.2046119687179293,1.0,0.41496272909
Jamaica,8179.62034,8190.000905,2881355,0.5503,4868.248263,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4708333333333333,0.38100911347268046,1.0,0.153743092042
Japan,38252.301139999996,38239.77129,126994511,0.9392799999999999,38894.467730000004,5,0.2,1.5,0.06,0.8,0.05,0.8,0.8041666666666667,0.21044253355545398,1.0,0.2110869534891097
Jordan,8389.604573999999,8389.543336,9455802,0.83905,4087.9375170000003,5,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.425,0.17572272222131016,1.0,0.20623857296800002
Kazakhstan,23446.56506,23419.905580000002,17797032,0.5322899999999999,7510.077209,5,0.2,1.5,0.06,0.8,0.05,0.6,0.7875,0.3305707553557686,1.0,0.048976303
Kenya,2925.600917,2925.600917,48461567,0.26055,1455.359765,5,0.2,1.5,0.06,0.8,0.05,0.8,0.49583333333333335,0.46296027315172006,1.0,0.07103708364500001
Kiribati,1955.155323,1897.8123469999998,114395,0.44447,1449.058231,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.28394957983193275,1.0,0.08799324177200002
"Korea, Rep.",34985.849330000005,34985.849330000005,51245707,0.8259200000000001,27538.80613,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5,0.2367936221973808,1.0,0.17583638247439565
Kyrgyz Republic,3293.700997,3291.968243,6082700,0.3585,1077.036174,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4833333333333333,0.5202256666410198,1.0,0.274962041615
Lao PDR,6073.223695000001,5734.586572,6758353,0.39654,2353.152875,5,0.2,1.5,0.06,0.8,0.05,0.4,0.16666666666666666,0.2472988860728427,1.0,0.12616526769599998
Latvia,23728.51364,23712.090780000002,1960424,0.67361,14118.063909999999,5,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.2393699080806075,1.0,0.255768716
Lebanon,13267.8857,12974.16545,6006668,0.8791399999999999,7914.004677,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.375,0.1676576124167707,1.0,0.09447941713946043
Lesotho,2736.354895,2808.23633,2203821,0.2784,998.1343716,5,0.2,1.5,0.06,0.8,0.05,0.4,0.3416666666666667,0.1992120956582078,1.0,0.08184535892213127
Liberia,753.557379,753.557379,4613823,0.501,455.3707414,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.4725120712732518,1.0,0.124579110032
Lithuania,27943.81512,27904.09625,2872298,0.6651199999999999,14879.6803,5,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.3129644244946807,1.0,0.34447652000000006
Luxembourg,94920.95872000001,97018.66364,582972,0.9043200000000001,102831.3215,5,0.2,1.5,0.06,0.8,0.05,0.0,0.5,0.24723066038615737,1.0,0.38757304865799996
"Macedonia, FYR",13054.890809999999,13054.77697,2081206,0.57204,5237.14767,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5833333333333333,0.2639321665831752,1.0,0.2669000115788582
Madagascar,1396.669615,1396.091734,24894551,0.35741,401.3188701,5,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.2940729838426214,1.0,0.092948730949
Malawi,1083.8014210000001,1083.970196,18091575,0.16454000000000002,300.7948251,5,0.2,1.5,0.06,0.8,0.05,0.8,0.3333333333333333,0.25307656921941635,1.0,0.023320528121999997
Malaysia,25668.88436,25660.45985,31187265,0.7537,9502.568395999999,5,0.2,1.5,0.06,0.8,0.05,0.8,0.7666666666666666,0.2505940745612133,1.0,0.06184374291800001
Maldives,14231.534130000002,12235.546470000001,417492,0.4654,8601.632488,5,0.2,1.5,0.06,0.8,0.05,0.6,0.49583333333333335,0.326357971697339,1.0,0.017440863216000003
Mali,1971.08448,1962.690874,17994837,0.40683,780.5071109,5,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.6438448659589122,1.0,0.05072789884
Mauritania,3572.28055,3572.28055,4301018,0.60446,1077.556136,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.23810597085800642,1.0,0.08623568673716653
Mauritius,19567.48966,19548.63852,1263473,0.39548,9627.595785,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.7416666666666667,0.29481279169257346,1.0,0.333296997692
Mexico,16832.463040000002,16831.12473,127540423,0.7951699999999999,8201.306253,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.7541666666666667,0.36826304497677287,1.0,0.277039224769
Moldova,4944.399693,4944.335661,3552000,0.45088999999999996,1900.2014789999998,5,0.2,1.5,0.06,0.8,0.05,0.6,0.375,0.25670477375728673,1.0,0.36966665538899995
Mongolia,11361.00642,11328.47574,3027398,0.72823,3686.451698,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5416666666666667,0.20767487925071607,1.0,0.23174384361800004
Montenegro,15737.021130000001,15658.11321,622781,0.64223,6701.00008,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,1.0,0.33355162739500005
Morocco,7285.908320999999,7265.847079000001,35276786,0.60685,2832.429777,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7625,0.26925696721882303,1.0,0.13467983790193447
Myanmar,5305.047137,5351.554803,52885223,0.3465,1275.017608,5,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.25,0.7219105979677607,1.0,0.07714791295185225
Namibia,9852.035111,9812.408629000001,2479713,0.47625,4140.461932,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5833333333333333,0.2751726819797061,1.0,0.1364125957687519
Nepal,2297.652539,2287.7232649999996,28982771,0.18995,729.5325011,5,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.2701993002713125,1.0,0.28421979728400004
Netherlands,47269.63295,47128.310789999996,17018408,0.91032,45294.78,5,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.25251989485705195,1.0,0.34084666104
Nicaragua,5136.841574,5136.841574,6149928,0.59107,2151.382047,5,0.2,1.5,0.06,0.8,0.05,0.6,0.49583333333333335,0.29951711867347164,1.0,0.13338440040000002
Niger,914.4670358,906.9925206,20672987,0.1901,363.22697389999996,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.23359231685535525,1.0,0.06174399834999999
Nigeria,5434.734795,5438.922711,185989640,0.48596999999999996,2177.98517,5,0.2,1.5,0.06,0.8,0.05,0.8,0.5791666666666667,0.8736444729486806,1.0,0.011058322492000002
Norway,64139.54705,63810.78642999999,5232929,0.80734,70812.47742000001,5,0.2,1.5,0.06,0.8,0.05,0.8,1.0,0.3359516873480029,1.0,0.314924937902
Pakistan,4854.632259,4866.163456,193203476,0.39224000000000003,1468.1929460000001,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5541666666666667,0.3767173581299691,1.0,0.13074179219600002
Panama,21334.93968,21334.93968,4034119,0.66895,13680.236009999999,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1.0,0.5402427160644628,1.0,0.11710589358499997
Papua New Guinea,3878.287729,2620.882403,8084991,0.13039,2182.7165649999997,5,0.2,1.5,0.06,0.8,0.05,0.4,0.25,0.32518120719724364,1.0,0.0015386210889999999
Paraguay,8871.37954,8877.606645,6725308,0.59924,4080.204644,5,0.2,1.5,0.06,0.8,0.05,0.8,0.6541666666666667,0.3682732130696673,1.0,0.150928700659
Peru,12071.59238,12071.59238,31773839,0.7892399999999999,6045.650077,5,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.27019867536419195,1.0,0.20005918213799997
Philippines,7236.467070999999,7236.467070999999,103320222,0.44288999999999995,2951.0719289999997,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1.0,0.27365718828027585,1.0,0.225506335732
Poland,26035.8379,26003.01339,37948016,0.60531,12372.41706,5,0.2,1.5,0.06,0.8,0.05,0.6,0.7791666666666667,0.41320263199936846,1.0,0.4967354800000001
Portugal,27102.6637,27006.87428,10324611,0.64017,19813.30825,5,0.2,1.5,0.06,0.8,0.05,0.8,0.6916666666666667,0.19024226740462855,1.0,0.46206136839999995
Romania,21614.68624,21647.808930000003,19705301,0.5474899999999999,9474.130604,5,0.2,1.5,0.06,0.8,0.05,0.6,0.6916666666666667,0.2677480378213938,1.0,0.42336445300000014
Russian Federation,24416.623880000003,24026.00492,144342396,0.7410100000000001,8748.364504000001,5,0.2,1.5,0.06,0.8,0.05,0.0,0.2625,0.3491630039272151,1.0,0.214862919584
Rwanda,1773.750484,1773.750484,11917508,0.29775,702.8356016,5,0.2,1.5,0.06,0.8,0.05,0.8,0.49583333333333335,0.712577817249879,1.0,0.076663551784
Senegal,2379.4512640000003,2380.3869170000003,15411614,0.44065,958.0737379000001,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5333333333333333,0.22621011201636318,1.0,0.21137062376700003
Serbia,13720.89089,13720.087230000001,7057412,0.5566800000000001,5348.294064,5,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.2201204533701086,1.0,0.37081752740599994
Seychelles,26319.15863,26319.15863,94677,0.54214,15075.71944,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1.0,0.21854769867246696,1.0,0.1471370531469783
Sierra Leone,1368.8290980000002,1365.865943,7396190,0.40318000000000004,496.0494634,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.3333333333333333,0.4068659912801502,1.0,0.029931397318000003
Slovak Republic,29212.3782,29156.093910000003,5428704,0.53468,16495.987680000002,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6375,0.30590188604179597,1.0,0.3929030204879999
Slovenia,29930.03704,29803.44962,2064845,0.49627,21304.57016,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7541666666666667,0.2213378830398852,1.0,0.36303389049999996
Solomon Islands,2072.710578,2072.710578,599419,0.22779000000000002,2005.483643,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.25,0.2968860005415652,1.0,0.06646077489999999
South Africa,12236.83195,12260.16535,55908865,0.65295,5273.593879999999,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4166666666666667,0.41221819094326817,1.0,0.16871750945
Spain,33320.035110000004,33261.07934,46443959,0.79802,26528.49179,5,0.2,1.5,0.06,0.8,0.05,0.8,0.7541666666666667,0.18299929671374224,1.0,0.4339420833939999
Sri Lanka,11639.30965,11417.256459999999,21203000,0.18407,3835.3948170000003,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.33796080258900235,1.0,0.08818631907699999
St. Lucia,12010.50151,10703.09575,178015,0.1854,7744.445173,5,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.3333333333333333,0.8917745033119631,1.0,0.12370101368626191
St. Vincent and the Grenadines,10623.38552,10758.56312,109643,0.5089899999999999,7030.057145000001,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.6344556359052773,1.0,0.16448424303576856
Sudan,4386.352577000001,4385.046923,39578828,0.34007,2415.0381620000003,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.9487533644538989,1.0,0.05974477171515534
Swaziland,7723.6410590000005,7733.808563,1343098,0.21315,2775.153908,5,0.2,1.5,0.06,0.8,0.05,0.6,0.5666666666666667,0.19038060692098577,1.0,0.1095257682360058
Sweden,46568.17715,46441.20592,9903122,0.85964,51599.86887,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.357367643802592,1.0,0.35766116185
Switzerland,57427.89254,56625.135010000005,8372098,0.7399,78812.65069,5,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,1.0,0.28308540003621385,1.0,0.31883982652299997
Tajikistan,2762.585453,2762.585453,8734951,0.26891,795.8438643999999,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4583333333333333,0.3854263244630784,1.0,0.23312181055614636
Tanzania,2583.589673,2583.279039,55572201,0.32316,879.1938140000001,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.41320436712274966,1.0,0.07650132945400001
Thailand,15683.03242,15681.81409,68863514,0.5154,5907.913432,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7416666666666667,0.24033636299972685,1.0,0.27187137021400004
Timor-Leste,1984.660767,2151.107055,1268671,0.33401,1161.760935,5,0.2,1.5,0.06,0.8,0.05,0.4,0.4166666666666667,0.12895241137016927,1.0,0.060870425388
Togo,1382.109747,1382.109747,7606374,0.40463000000000005,578.4616936000001,5,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.3708920312086315,1.0,0.09408221945220509
Tonga,5327.2672,5332.472445,107122,0.23801,3688.874636,5,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3578357636224098,1.0,0.11702355624494477
Trinidad and Tobago,30464.759169999998,29578.95639,1364962,0.08352000000000001,15377.09881,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,1.0787654875020773,1.0,0.14658594109072995
Tunisia,10752.01683,10752.01683,11403248,0.67047,3688.646375,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.49583333333333335,0.24926564326912068,1.0,0.14438034176467424
Turkey,23756.48429,23679.39639,79512426,0.73887,10787.60934,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6541666666666667,0.4121669094199699,1.0,0.20902863845599995
Uganda,1687.0827359999998,1713.851192,41487965,0.16444,615.3088032,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5791666666666667,0.5735745521051661,1.0,0.103315231304
Ukraine,7668.055776,7668.055776,45004645,0.69915,2185.7280309999996,5,0.2,1.5,0.06,0.8,0.05,0.0,0.1,0.2458541924399426,1.0,0.40495886099999995
United Kingdom,39254.77217,38901.046760000005,65637239,0.82835,39899.38839,5,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.30312817474804055,1.0,0.433940166696
United States,53445.37059,53272.51571,323127513,0.81788,57466.787110000005,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4166666666666667,0.3187368533465751,1.0,0.11754
Uruguay,20046.92683,20046.92683,3444006,0.9546,15220.566030000002,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6208333333333333,0.29188665397068997,1.0,0.390733585038
Uzbekistan,6038.928299,6038.871414,31848200,0.36479,2110.647872,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.730183656731034,1.0,0.24373127540059525
Vanuatu,2856.4753100000003,2856.4753100000003,270402,0.26441,2860.566475,5,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.25,0.29706761565836304,1.0,0.09927400643883695
Vietnam,5837.628704,5955.261888,92701100,0.34236,2185.690282,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.6041666666666667,0.2697045509948559,1.0,0.15057482092699997
"Yemen, Rep.",2325.0699600000003,2325.0699600000003,27584213,0.35186999999999996,990.334774,5,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.16666666666666666,0.2191314756601725,1.0,0.08061792103300001
Zambia,3646.962322,3636.059711,16591390,0.41379,1178.387905,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5541666666666667,0.425750249346411,1.0,0.088705264054
Zimbabwe,1879.6281199999999,1859.937441,16150362,0.32277,1008.597331,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4166666666666667,19.14376169472781,1.0,0.108605563344
