province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,axfin_p,axfin_r,urbanization_rate,pi,rho,shareable,T_rebuild_K,income_elast,max_increased_spending,share1,finance_pre,prepare_scaleup,rating,borrow_abi,avg_prod_k,k,eff_prod_k_gar,protection,gdp_pc_pp_nat,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Abra,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,0.02968233433951416,0.06316269830617667,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1904.0919931743128,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,2.968717574928206,151900.3721563515,2.57194778979322e-05,1.315988525603497,0.0,0.5134464320232002,521.0684610790688,2.968717574928206,3.5679064818201227,3.5679064818201227,2.968717574928206,2.57194778979322e-05,0.014527685643126866,3.0,0.0,0.0,1.7956426904766885,0.10811633062071271,0.6373020333247934,1.413111605111328,1.4030844976030508,4.005858199794889,204967.74650890508,0.02306333139890629,0.7410940245164477,0.017092097085172016
Agusan del Norte,141357,82.34842550798723,234.81632362665314,0.2767785,192.61648748721595,0.05712460063897764,0.2491000860787229,0.14733560328849124,0.2265208726341895,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11832981686458785,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2815.4420309243374,0.17731872965773066,1,234.60257722888613,0.23713168275577798,1.2018342573076888,1.1122615077120785,157225.94994565626,8.969163339771054e-06,1.2678540222200165,0.0,0.6809816697184002,770.4659499488637,1.1122615077120785,1.3367539830530761,1.3367539830530761,1.1122615077120785,8.969163339771054e-06,0.007022981414362551,4.0,0.0,0.0,2.39278276426625,0.5878961975458151,0.8865145372222046,1.3607790359755654,1.323401786062213,1.6314181023894427,230612.36869946445,0.008469773920561814,0.6817758771237208,0.0057744875437306465
Agusan del Sur,141595,83.30408110359977,216.087522244498,0.37295759999999994,166.5649287168474,0.07623700505595637,0.1391886108170207,0.12644386776901576,0.11333413685486968,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.18652720232252248,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1825.9881616512187,0.17731872965773066,1,234.60257722888613,0.13448785819978615,1.2018342573076888,0.6381983933518777,90365.7015066591,6.209040579491089e-06,0.8791691008530408,0.0,0.4569025786636802,499.6947861505421,0.6381983933518776,0.7670086920890139,0.7670086920890139,0.6381983933518777,6.209040579491089e-06,0.008324567021881479,3.0,0.0,0.0,1.5908512010059477,0.23142066203245595,0.4003607897661343,0.5673215037732984,0.5588448873642609,0.908182150021991,128594.05153236381,0.005452421209064114,0.702720696873886,0.0038315292316834907
Aklan,123269,79.44585903031265,211.61951034517918,0.2044606,184.5952062931508,0.07756705284875416,0.12851680008157856,0.18418347295253293,0.2395421529618196,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.08799550286835289,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2698.1963448969004,0.17731872965773066,1,234.60257722888613,0.25521758726123794,1.2018342573076888,0.7716131313473225,95115.97908805309,6.192256322465033e-06,0.7633132446139421,0.0,0.7349523449254404,738.3808251726035,0.7716131313473225,0.9273510946416694,0.9273510946416694,0.7716131313473225,6.192256322465033e-06,0.005376166051170414,4.0,0.0,0.0,2.6925786620091237,0.35429875257752086,0.9863891706201952,1.2646607932027292,1.2426470514161607,1.056702387155176,130258.64656223138,0.00572443027299991,0.7302085627199513,0.004180028002037843
Albay,267030,76.58221031242061,224.00858474710728,0.33910619999999997,174.01538713278356,0.08152311956797828,0.17277507678010856,0.20180436413230068,0.21355415229826646,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14923681609161135,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2543.552949971253,0.17731872965773066,1,234.60257722888613,0.23120479438060665,1.2018342573076888,6.047216041971325,1614788.0996876028,6.073672004044965e-05,16.21852635240127,0.0,0.6344666567948802,696.0615485311342,6.047216041971325,7.267751400581748,7.267751400581748,6.047216041971325,6.073672004044965e-05,0.022357625531104437,4.0,0.0,0.0,2.1822062449618738,0.4254929169820214,0.9017255708094915,2.697004695902313,2.6428348931963233,9.486499529873837,2533179.969462211,0.05451529135544263,0.6374549456233144,0.03475104208662282
Antique,121378,73.00738257920132,204.4395375188618,0.23561100000000001,173.47267606137342,0.023393244282816982,0.1722569519292951,0.2431943617591732,0.3512885692024434,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.09915880014892076,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2535.620235689993,0.17731872965773066,1,234.60257722888613,0.3609085479250696,1.2018342573076888,0.7697216963738157,93427.280062461,7.138076443457973e-06,0.8664054425540418,0.0,0.7117048761664003,693.8907042454939,0.7697216963738157,0.9250779032950394,0.9250779032950394,0.7697216963738157,7.138076443457973e-06,0.004410374998847199,4.0,0.0,0.0,2.5549358972000196,0.41154907472100233,1.3744520271867482,1.6635386705245916,1.6318763547585045,1.1096881389264044,134691.72692660912,0.00639690448156691,0.6936378513683154,0.004437135080002419
Apayao,24614,67.65457836874164,181.0193100789096,0.5469357,119.01609118569668,0.0,0.04779411764705882,0.0970280339888075,0.11781716855981995,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.3109050533392038,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1304.7282835903661,0.17731872965773066,1,234.60257722888613,0.12774154918877045,1.2018342573076888,3.3995453645777234,83676.40960371609,5.7587645465531084e-05,1.4174623054885822,0.0,0.35952299980176017,357.04827355709006,3.3995453645777234,4.085690078421064,4.085690078421064,3.3995453645777234,5.7587645465531084e-05,0.02463808099206418,3.0,0.0,0.0,1.4888180116014083,0.0433076169117647,0.3552928460526631,1.434741288906293,1.4310647316185952,5.087576432752675,125225.60631577433,0.04274696288600762,0.6682052662034152,0.028563745714632233
Aurora,47135,67.26519313472515,202.1915723228324,0.27132540000000005,165.58261851906752,0.0,0.07072148139521342,0.08244081427735074,0.1351519451347849,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11022144471797267,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2420.2926231848905,0.17731872965773066,1,234.60257722888613,0.14947411814742156,1.2018342573076888,3.5710088368537347,168319.5015251008,3.9603702814748e-05,1.8667205321731468,0.0,0.6850513051609602,662.3304740762702,3.5710088368537347,4.291760753279301,4.291760753279301,3.5710088368537347,3.9603702814748e-05,0.03386879085216801,4.0,0.0,0.0,2.3807481732798825,0.15459884150119377,0.5519054363978529,1.1132318183472523,1.1060960764472454,5.741575232926287,270629.14860398055,0.03467498753358053,0.6219562910845482,0.021566326639788694
Basilan,52418,102.81856749049429,142.411081804131,0.3211191,129.69716924099885,0.0,0.042012083743150214,0.10088407543954113,0.09404484786987756,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.2545699805867445,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1895.7611902109415,0.17731872965773066,1,234.60257722888613,0.11322480576091679,1.2018342573076888,0.03130522743229823,1640.9574115462083,3.9799976183738876e-07,0.020862351515992243,0.0,0.6478903863558401,518.7886769639956,0.03130522743229823,0.03762369476094443,0.03762369476094443,0.03130522743229823,3.9799976183738876e-07,0.0005854078695242083,4.0,0.0,0.0,2.2553022472533106,0.08556360366727554,0.44975325652255654,0.6595841382060074,0.6570618332953154,0.03999923633922411,2096.6799704294494,0.0003084048524212498,0.7826456277016383,0.00024137170930946017
Bataan,159358,109.54218999437886,289.07467826880884,0.0446542,281.05779863090487,0.0,0.16199209153847166,0.03139821189272194,0.2760261249819631,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.017403960624023496,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,4108.173447182384,0.17731872965773066,1,234.60257722888613,0.29363243706391595,1.2018342573076888,8.192103217929134,1305477.1846027507,3.411714548503484e-05,5.436840070204183,0.0,0.8542154777100802,1124.2311945236197,8.192103217929134,9.845550286707788,9.845550286707788,8.192103217929134,3.411714548503484e-05,0.011997745597000446,4.0,0.0,0.0,3.6385175506217555,0.4642753928534834,1.1458313926721826,3.9092772372389284,3.81858321241818,10.938034662390729,1743063.3277292617,0.038917385376503806,0.7489556826965278,0.029147396933423275
Batangas,546431,86.02898454395351,276.5634392311325,0.1474136,248.47606934165864,0.06250698315353008,0.1012385163561432,0.10102973003875744,0.25268893091866484,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.05103848571642853,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,3631.931920416765,0.17731872965773066,1,234.60257722888613,0.2661847474758458,1.2018342573076888,3.862312776410484,2110487.4327267567,2.071815586789059e-05,11.321042629047323,0.0,0.7775263841126403,993.9042773666342,3.862312776410484,4.641859807127292,4.641859807127292,3.862312776410484,2.071815586789059e-05,0.01364162619773502,4.0,0.0,0.0,2.97643124576482,0.2865868848396795,0.9990818469866026,1.8693874273084683,1.8431139805361565,5.521424647474305,3017077.591544032,0.022221152572573323,0.6995138072159044,0.015544003036766254
Benguet,182831,92.42916188244484,341.04516746384564,0.0280084,334.08183093311953,0.0,0.2003488830116482,0.11470136490769148,0.1885254434254563,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.007748978537496474,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,3662.4124478428575,0.17731872965773066,1,234.60257722888613,0.20999732612334718,1.2018342573076888,4.741670575221123,866924.3729382531,1.4562191370161275e-05,2.6624200103979563,0.0,0.6499786487251202,1002.245492799359,4.741670575221123,5.6987021341686,5.6987021341686,4.741670575221123,1.4562191370161275e-05,0.01735506299851371,3.0,0.0,0.0,2.802942286893913,0.3894748627134095,0.6243711121866102,0.99730688943577,0.9716216110271869,6.05032998691873,1106187.8818383384,0.018110323360057128,0.7837044566945889,0.014193141129456893
Biliran,35756,82.69809868773434,205.5642049632353,0.2088654,179.90172652956025,0.04204606320299946,0.1747737556561086,0.20887795644018836,0.2736680811790785,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.09601226066507462,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2629.592559363834,0.17731872965773066,1,234.60257722888613,0.2878446118415024,1.2018342573076888,2.3692070488439136,84713.36723846298,2.1542019111843938e-05,0.7702564353630919,0.0,0.73166505325696,719.606906118241,2.3692070488439136,2.847394193955466,2.847394193955466,2.3692070488439136,2.1542019111843938e-05,0.013062115225647004,4.0,0.0,0.0,2.662261122335579,0.44115459924243877,1.1137091687634564,1.750400374008793,1.7159435359105326,3.5368165702043823,126462.41328422789,0.01965971443649951,0.669869924497386,0.013169451425218096
Bohol,272951,78.22296492720628,224.89207501477603,0.3057509,180.04786260330246,0.048025882211970516,0.15500591041499556,0.1380023750803216,0.3277312195827249,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.13283546708831112,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2631.72860519052,0.17731872965773066,1,234.60257722888613,0.3222386501460504,1.2018342573076888,0.6069998338896739,165681.2116600204,5.311046654293942e-06,1.4496554953361855,0.0,0.6593596371321601,720.1914504132097,0.6069998338896739,0.7295131945486868,0.7295131945486868,0.6069998338896739,5.311046654293942e-06,0.006831937372558352,4.0,0.0,0.0,2.294973756309718,0.3668900115296858,1.144821782193836,0.8158139433116007,0.8016428997945637,0.8730421602291745,238297.7306767134,0.004848944872801623,0.6952697836841417,0.003371324852809112
Bukidnon,291073,78.06423230374295,209.47389468214402,0.4148774,154.95499561971516,0.06386220602848626,0.2130430442773012,0.08748279611687304,0.09708349291220753,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.2090096263218004,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1698.7128669283752,0.17731872965773066,1,234.60257722888613,0.11336579030006436,1.2018342573076888,0.22527096242705116,65570.29484652907,2.4715994908197515e-06,0.7194158785913776,0.0,0.43343909406432013,464.86498685914535,0.2252709624270512,0.27073835982150335,0.27073835982150335,0.22527096242705116,2.4715994908197515e-06,0.004592545676175058,3.0,0.0,0.0,1.539058686538521,0.30230257194962457,0.3226450517691444,0.39794128088796527,0.39038559589300637,0.32438415097344114,94419.46797629244,0.0020934087970260265,0.6944573640575157,0.0014537831550775092
Bulacan,710908,101.5324967587854,293.50470803278813,0.0535976,283.2154582418087,0.0,0.15943847028485222,0.15132723732958844,0.1844508737315264,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.019214693230594774,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,4139.7115861870725,0.17731872965773066,1,234.60257722888613,0.20564443623331322,1.2018342573076888,8.526854393204879,6061809.002964495,3.4895706823035645e-05,24.80763714615062,0.0,0.8475410397542403,1132.8618329672345,8.526854393204879,10.24786571682819,10.24786571682819,8.526854393204879,3.4895706823035645e-05,0.02984854015147589,4.000000000000001,0.0,0.0,3.5398744911206745,0.45267885278973835,0.8154562092438636,1.6542798018796576,1.6180469319419666,11.31672285760859,8045148.813256808,0.03995799850708149,0.7534738192755162,0.030107305745736064
Cagayan,265428,84.3379001665134,213.96610821924494,0.1515935,194.31531446180324,0.03660809702512613,0.07915502839811538,0.09209980061998388,0.16505190490225702,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.0657955215949051,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2840.273492290482,0.17731872965773066,1,234.60257722888613,0.1812129271531333,1.2018342573076888,11.535681188105745,3061892.7863965323,8.748901936666558e-05,23.222035432455314,0.0,0.7744069347744001,777.2612578472128,11.535681188105745,13.863976833245344,13.863976833245344,11.535681188105745,8.748901936666558e-05,0.04836285747736455,4.000000000000001,0.0,0.0,2.8982489318789257,0.21811557047107236,0.693412053804409,2.008153866604625,1.9868731125939156,16.124535236501615,4279903.138754151,0.08298128884571901,0.715411701417109,0.0593657850389004
Camarines Norte,122835,88.82260132018152,189.4534566609824,0.21706430000000002,167.61009048803024,0.03236695045568766,0.12888366676371502,0.18779738410323188,0.18591028482148728,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11503016151119592,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2449.927831844364,0.17731872965773066,1,234.60257722888613,0.20616970982006852,1.2018342573076888,7.547563840786321,927105.0043829879,7.336955811274959e-05,9.012349670779596,0.0,0.7255462338643202,670.440361952121,7.547563840786321,9.070920783073795,9.070920783073795,7.547563840786321,7.336955811274959e-05,0.025404637718092083,4.0,0.0,0.0,2.605606697748258,0.32379999990004343,0.8178342502108705,2.962999953396944,2.918162106682205,10.832764870000833,1330642.6728065524,0.06463074411844225,0.6967347608261841,0.045030486045381166
Camarines Sur,383327,92.94640543029585,215.63893477588044,0.3172596,176.713551992712,0.035744239972371604,0.12151861008050804,0.17901383863276674,0.2294120851389761,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.16686971132508066,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2582.991561131213,0.17731872965773066,1,234.60257722888613,0.24007730266632976,1.2018342573076888,3.2020184488174372,1227420.1259298415,2.923070461592137e-05,11.20491830830729,0.0,0.6507707219430403,706.854207970848,3.2020184488174372,3.848295464320022,3.848295464320022,3.2020184488174372,2.923070461592137e-05,0.012030864381599941,4.0,0.0,0.0,2.254116699195324,0.28291760318924625,0.9187681026411632,2.5169846649837093,2.4837254026727296,4.672154298359643,1790962.8907273067,0.02643913975851909,0.6853409036473049,0.01811982393376086
Camiguin,18995,96.20523191380195,219.27628020358958,0.41041049999999996,168.76662973945372,0.0,0.05991606393427985,0.13798056528896288,0.2032505166190428,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.2339540547400589,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2466.8327669376677,0.17731872965773066,1,234.60257722888613,0.20580388311361492,1.2018342573076888,0.2801974018024799,5322.349647238107,2.474538918881133e-06,0.04700386676414711,0.0,0.5812524288352002,675.0665189578149,0.28019740180247993,0.3367508362948275,0.3367508362948275,0.2801974018024799,2.474538918881133e-06,0.004857624428752803,4.0,0.0,0.0,2.060116911272853,0.10597764653094027,0.7639774159182762,0.5432466249328501,0.5404361415512904,0.36914524600513754,7011.913947867588,0.002187311831580885,0.7590437770356122,0.0016602654341978378
Capiz,166428,85.33278461621302,248.3915829369223,0.22317670000000003,212.0006584217409,0.0,0.08277062304211626,0.12458610950924613,0.30602262850808715,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.08983127417732671,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,3098.777119709537,0.17731872965773066,1,234.60257722888613,0.3102364532160354,1.2018342573076888,0.9317442179844895,155068.32671072264,6.267853878989699e-06,1.0431463853724974,0.0,0.7209845644140802,848.0026336869637,0.9317442179844895,1.1198021202221222,1.1198021202221222,0.9317442179844895,6.267853878989699e-06,0.00991586942899256,4.0,0.0,0.0,2.59942418849724,0.1928944456038984,1.1342193561951621,0.7294227041004739,0.7229425786873498,1.3164302455318018,219090.8529033667,0.006209557344453985,0.7077809258386419,0.00439500624630578
Catanduanes,51389,73.4070479201092,198.75256459662137,0.27084949999999997,164.80279407754642,0.274732380199727,0.29601558538603184,0.21419689617654056,0.190961913515614,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.12064274963859055,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2408.8940636013212,0.17731872965773066,1,234.60257722888613,0.2137026808488161,1.2018342573076888,8.463401680278524,434925.7489478332,8.490102592846862e-05,4.362978821438074,0.0,0.6854064681888002,659.2111763101859,8.463401680278524,10.171606072714187,10.171606072714187,8.463401680278524,8.490102592846862e-05,0.024137337642310602,4.0,0.0,0.0,2.3909350038645605,0.8707531197087717,0.8575610346262185,3.5955864536844473,3.43935814936739,12.221737288896563,628062.8575391055,0.0741597699074552,0.6924876128672408,0.05135472203399749
Cavite,782511,98.877564679978,310.5756049173212,0.0255369,305.16949323358415,0.0,0.2527916971026676,0.1010196233141053,0.19710243809770311,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.008274177260383667,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,4460.609935391631,0.17731872965773066,1,234.60257722888613,0.21834157689072206,1.2018342573076888,7.57443069829467,5927075.340153261,2.7317098501037774e-05,21.375930065145567,0.0,0.8684826728185603,1220.6779729343366,7.57443069829467,9.103210292813536,9.103210292813536,7.57443069829467,2.7317098501037774e-05,0.01555629909738061,4.0,0.0,0.0,3.771795621035521,0.7390085424387793,0.8654433907412793,2.616706610660845,2.5207101442492394,9.908759447037031,7753713.263660395,0.03246969198016338,0.764417658817988,0.024820405926017693
Cebu,983408,81.29791925777063,261.91609483508523,0.18873399999999999,227.82730408567636,0.06413150649504587,0.1856228205854556,0.13361732101702944,0.2043417900664045,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.06734786049799353,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,3330.1124741856056,0.17731872965773066,1,234.60257722888613,0.22051062972470287,1.2018342573076888,5.898815811589056,5800942.659643171,3.609285198478828e-05,35.493999384656675,0.0,0.7466890687616002,911.3092163427056,5.898815811589058,7.089398919915987,7.089398919915987,5.898815811589056,3.609285198478828e-05,0.03966856295205674,4.0,0.0,0.0,2.7183830846680577,0.48807983673574845,0.8386436193755189,1.099607420018397,1.0738740594950011,8.445063583007652,8304943.08803839,0.037067829147606535,0.6984927648689454,0.02589161046900137
Compostela Valley,159581,84.0196542266187,224.18854450399,0.30660429999999994,181.21216001871971,0.18294228253760628,0.14251760006506828,0.0921873481184648,0.09595660839353884,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14215816017939029,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2648.7469400310397,0.17731872965773066,1,234.60257722888613,0.11495698994353969,1.2018342573076888,0.5282905758979305,84305.13839236766,4.491623417202669e-06,0.7167777565406189,0.0,0.6587227467603199,724.848640074879,0.5282905758979305,0.6349177119269407,0.6349177119269407,0.5282905758979305,4.491623417202669e-06,0.007351768061812313,4.0,0.0,0.0,2.293670237229775,0.4647359446118491,0.4450760226175598,0.649052255765916,0.6337543826330178,0.7455168335515459,118970.32181498923,0.00411405522385767,0.7086232692845076,0.002915315262747029
